"Severity","Issue","File","Line","Text"
"INFO","Project base path helper usage","backend\apc\api.py","9","from .azure_layout import AzureRoutingConfig"
"INFO","Project base path helper usage","backend\apc\api.py","64",") -> AzureRoutingConfig:"
"INFO","Project base path helper usage","backend\apc\api.py","65","return AzureRoutingConfig.from_args("
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","10","from .azure_layout import AzureRoutingConfig, build_review_promotion_blob_plan, build_azure_routing_summary"
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","48","def __init__(self, routing: AzureRoutingConfig):"
"FAIL","Workspace-first literal/order: workspace/client/project","backend\apc\azure_blob_adapter.py","127","{workspace}/{client}/{project}/source/processing_center/uploads/"
"REVIEW","Direct APC upload path literal","backend\apc\azure_blob_adapter.py","127","{workspace}/{client}/{project}/source/processing_center/uploads/"
"FAIL","Workspace-first literal/order: workspace/client/project","backend\apc\azure_blob_adapter.py","130","{workspace}/{client}/{project}/processing_center/archive/{job_id}/uploads/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","130","{workspace}/{client}/{project}/processing_center/archive/{job_id}/uploads/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","137","f""{self.routing.prefix}/processing_center/archive/"""
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","137","f""{self.routing.prefix}/processing_center/archive/"""
"FAIL","Workspace-first literal/order: workspace/client/project","backend\apc\azure_blob_adapter.py","242","{workspace}/{client}/{project}/processing_center/staged/{job_id}/native/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","242","{workspace}/{client}/{project}/processing_center/staged/{job_id}/native/"
"FAIL","Workspace-first literal/order: workspace/client/project","backend\apc\azure_blob_adapter.py","243","{workspace}/{client}/{project}/processing_center/staged/{job_id}/text/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","243","{workspace}/{client}/{project}/processing_center/staged/{job_id}/text/"
"FAIL","Workspace-first literal/order: workspace/client/project","backend\apc\azure_blob_adapter.py","248","{workspace}/{client}/{project}/source/native/"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\azure_blob_adapter.py","248","{workspace}/{client}/{project}/source/native/"
"FAIL","Workspace-first literal/order: workspace/client/project","backend\apc\azure_blob_adapter.py","249","{workspace}/{client}/{project}/source/text/"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\azure_blob_adapter.py","249","{workspace}/{client}/{project}/source/text/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","256","f""{self.routing.prefix}/processing_center/staged/{job_id}"""
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","256","f""{self.routing.prefix}/processing_center/staged/{job_id}"""
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","349","def azure_list_uploads(routing: AzureRoutingConfig, export_dir: str | None = None) -> list[dict[str, object]]:"
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","358","def azure_download_uploads(routing: AzureRoutingConfig, destination_root: str, overwrite: bool = False, export_dir: str | None = None) -> list[dict[str, object]]:"
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","366","routing: AzureRoutingConfig,"
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","394","routing: AzureRoutingConfig,"
"FAIL","routing.workspace/routing.client/routing.project direct path construction","backend\apc\azure_blob_adapter.py","425","f""{routing.workspace}/{routing.client}/{routing.project}/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","426","f""processing_center/staged/{job_id}"""
"FAIL","routing.workspace/routing.client/routing.project direct path construction","backend\apc\azure_blob_adapter.py","450","f""{routing.workspace}/{routing.client}/{routing.project}/source/native"""
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\azure_blob_adapter.py","450","f""{routing.workspace}/{routing.client}/{routing.project}/source/native"""
"FAIL","routing.workspace/routing.client/routing.project direct path construction","backend\apc\azure_blob_adapter.py","453","f""{routing.workspace}/{routing.client}/{routing.project}/source/text"""
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\azure_blob_adapter.py","453","f""{routing.workspace}/{routing.client}/{routing.project}/source/text"""
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","464","routing: AzureRoutingConfig,"
